Accel X
P_i,P_t,P_x,T_i,T_t,T_p
5480,1492035364.7946240902,0.896100,5677,1492035365.3397779465,-0.711900
5759,1492035365.5672879219,0.850500,5963,1492035366.1325609684,-0.766400
6041,1492035366.3489079475,0.835800,6241,1492035366.9034590721,-0.795400
6316,1492035367.1110410690,0.834700,6523,1492035367.6845600605,-0.730400
6601,1492035367.9006259441,0.856400,6802,1492035368.4665760994,-0.795400
6873,1492035368.6639649868,0.879800,7073,1492035369.2193479538,-0.745500
7147,1492035369.4248940945,0.939200,7344,1492035369.9709379673,-0.784400
7429,1492035370.2066659927,0.745000,7625,1492035370.7511548996,-0.778400
7700,1492035370.9582700729,0.844100,7900,1492035371.5134339333,-0.724600
7981,1492035371.7384309769,0.947000,8182,1492035372.2961819172,-0.794900
8263,1492035372.5207099915,0.874800,8471,1492035373.0979650021,-0.640900



